step,epoch,test/loss
0,0,34.11308288574219
0,0,33.74596405029297
0,0,34.95172882080078
0,0,36.31803512573242
0,0,33.59577941894531
0,0,35.33625411987305
0,0,37.255489349365234
0,0,33.385711669921875
0,0,35.918243408203125
0,0,38.603179931640625
0,0,33.0937614440918
0,0,36.8217658996582
0,0,40.54890823364258
0,0,32.690616607666016
0,0,38.27428436279297
0,0,43.376068115234375
0,0,32.13970184326172
0,0,40.712493896484375
0,0,47.479896545410156
0,0,31.408889770507812
0,0,45.03213119506836
0,0,53.43191146850586
0,0,30.498903274536133
0,0,53.234527587890625
0,0,61.79327392578125
0,0,29.522096633911133
0,0,70.25406646728516
0,0,72.792236328125
0,0,28.770601272583008
0,0,106.34738159179688
0,0,85.95304870605469
0,0,28.660959243774414
0,0,170.085693359375
0,0,101.39691162109375
0,0,30.5496826171875
0,0,243.1824951171875
0,0,120.47172546386719
0,0,42.261695861816406
0,0,306.4974060058594
0,0,147.07608032226562
0,0,93.5124282836914
0,0,369.6003723144531
0,0,167.2530975341797
0,0,249.89540100097656
0,0,454.7634582519531
0,0,149.21820068359375
0,0,579.6912231445312
0,0,601.08544921875
0,0,82.0570297241211
0,0,1244.9940185546875
0,0,906.1370849609375
0,0,7.489788055419922
0,0,2298.16943359375
0,0,1421.2796630859375
0,0,64.99038696289062
0,0,4032.7900390625
0,0,2090.285888671875
0,0,606.652099609375
0,0,7506.3642578125
0,0,2943.334716796875
0,0,2699.799560546875
0,0,11895.4443359375
0,0,4186.2392578125
0,0,9053.7646484375
