val/loss,epoch,step,train/loss,grad_norm.net.W.weight,grad_norm.net.P.weight,grad_norm.net.g.linear1.weight,grad_norm.net.g.linear1.bias,grad_norm.net.g.linear2.weight,grad_norm.net.g.linear2.bias,grad_norm.net.f.linear1.weight,grad_norm.net.f.linear1.bias,grad_norm.net.f.linear2.weight,grad_norm.net.f.linear2.bias,grad_norm.encoder.U.weight,grad_norm.encoder.U.bias,grad_norm.decoder.U.weight,grad_norm.decoder.U.bias,test/loss
33.97943115234375,0,0,,,,,,,,,,,,,,,,
,0,49,4.368918418884277,311.10861835105504,0.29473928930594556,0.06967625953772633,0.13329764371052377,0.13235639991569442,0.1415575398064916,0.464203790199329,0.0001386237887856937,0.6625706107707625,0.00016847136375602178,0.5813291919087827,0.5380066126581843,1728.802978967959,0.5335272872825916,
,0,99,1.0260627269744873,1.6107081318395962,0.0021916677305845378,0.034239785530482895,0.2628633445382451,0.001208144809001224,0.24932043721335156,0.0019635246838048933,0.0002898393650342031,0.001179025979075746,0.0003991318280676889,0.00028889447691726435,1.5009991751666512,7.284138789243789,5.262081021605092,
,0,149,0.3645136058330536,2.4510879324988055,0.0009505272743338596,0.0019193193124923734,0.012409678825102945,0.0016091733474159244,0.011041548940585824,0.0020247609407776914,7.035147220067338e-06,0.00953211186464598,2.005246283035494e-05,0.00938309246814602,0.09990008119975764,54.20795997928715,0.3543975133678067,
,0,199,0.06483715772628784,1.6329722030326306,0.0012314893698934948,0.0016105947728716108,0.013960362943576422,0.00031001477928589607,0.013571387772244928,0.0004025380667589799,8.970837253364805e-06,0.0005710035565962094,2.2828634685627234e-05,0.000469849763402506,0.10597311509546471,2.420399524848247,0.27420304579570776,
,0,249,0.12777802348136902,4.143618536695216,0.002804947300369575,0.000543885563731723,0.002987874229722647,0.0010624469070885144,0.002814121406463612,0.0013602867521999673,2.5416823038863404e-06,0.0038728639548018438,7.084427332841088e-06,0.0044065638207188874,0.02321640812685479,15.99524328073955,0.08374026994445741,
0.041272684931755066,0,249,,,,,,,,,,,,,,,,
,1,299,0.9934437274932861,13.720687657779788,0.013685384173373505,0.005324892822941256,0.04472868708849881,0.014428081211305094,0.08098266214736236,0.02208096569976835,4.897137563107115e-05,0.06899600218319665,0.00014330958312241986,0.019698528950071643,0.22161801335887768,187.44362599043865,1.1583584298324947,
,1,349,0.06736262142658234,3.234496567385959,0.002775566905240553,6.891810082460049e-05,0.00014268602510637552,0.0006082215858717796,0.00013877705074342382,0.000818679681115229,9.966827607058877e-08,0.0013982819539930496,3.080828279425681e-07,0.0011890789502228675,0.0014464211684248342,5.557825939535335,0.0038968165830760826,
,1,399,0.010203233920037746,0.3455792631895613,0.0003231930966203686,2.2442774551876155e-05,8.492252995466815e-05,0.00010701947528322222,8.414648386873438e-05,0.00014740822956968962,6.626732316769298e-08,0.00039400713669863053,2.1087467898473495e-07,0.00035252832625923605,0.0008419683230092585,1.4129259701626746,0.0024023573717829134,
,1,449,0.43684738874435425,2.085956470723109,0.0017761857301450098,0.003802591064501199,0.04253772155263426,0.0012042134957586112,0.04079684028329238,0.0013883698967123187,4.421914204679943e-05,0.004633733908062676,0.00015332724635601442,0.006300841401601314,0.4120896399180888,15.1419085783745,1.7477629780601909,
,1,499,0.08687856048345566,0.26750516698348775,0.0002247252439393411,0.00032070956093303767,0.0038274976812065604,0.00032855324262907475,0.00427809064889235,0.0005949074801696683,3.44892635478694e-06,0.0022556304197955783,1.2819751670162723e-05,0.0013319812756119956,0.0416730237568549,7.128388213430835,0.15190560550569163,
0.1873760223388672,1,499,,,,,,,,,,,,,,,,
,2,549,0.1246102824807167,3.682965191221719,0.002867874251597165,0.00019244208093074672,5.144233236327577e-05,0.001229722499170235,4.978610609252252e-05,0.00179110580017565,5.89325438944299e-08,0.006135514051972177,2.2725325697818108e-07,0.004033352721274459,0.0005386465392431294,18.464227570056458,0.002554588130319089,
