perturbation,perturbation_error
0.0,0.04858076199889183
0.001,0.0553327314555645
0.0014142135623730952,0.0583777092397213
0.002,0.06293132901191711
0.0028284271247461905,0.06986431032419205
0.004,0.08065111190080643
0.005656854249492381,0.09785816073417664
0.008,0.12658032774925232
0.011313708498984762,0.17658276855945587
0.016,0.26494887471199036
0.022627416997969524,0.42514294385910034
0.032,0.7219186425209045
0.04525483399593905,1.281221628189087
0.064,2.3468973636627197
0.0905096679918781,4.39563512802124
0.128,8.334676742553711
0.1810193359837562,15.665715217590332
0.256,28.692611694335938
0.3620386719675124,46.97431182861328
0.512,65.22740173339844
0.7240773439350248,81.61215209960938
1.024,98.87992095947266
