perturbation,perturbation_error
0.0,0.07313524931669235
0.001,0.07736542820930481
0.0014142135623730952,0.07920604944229126
0.002,0.08198591321706772
0.0028284271247461905,0.08671349287033081
0.004,0.09445273131132126
0.005656854249492381,0.1075671836733818
0.008,0.1344529092311859
0.011313708498984762,0.18583060801029205
0.016,0.285020112991333
0.022627416997969524,0.4791897237300873
0.032,0.8720585703849792
0.04525483399593905,1.8513576984405518
0.064,3.831991195678711
0.0905096679918781,7.697812080383301
0.128,14.876503944396973
0.1810193359837562,26.950725555419922
0.256,43.01592254638672
0.3620386719675124,57.780616760253906
0.512,150.6987762451172
0.7240773439350248,217.3285675048828
1.024,383.8006591796875
