val/loss,epoch,step,train/loss,grad_norm.net.layer.D,grad_norm.net.layer.kernel.C,grad_norm.net.layer.kernel.inv_dt,grad_norm.net.layer.kernel.B,grad_norm.net.layer.kernel.A_real,grad_norm.net.layer.kernel.A_imag,grad_norm.net.layer.kernel.P,grad_norm.net.output_linear.0.weight,grad_norm.net.output_linear.0.bias,grad_norm.encoder.U.weight,grad_norm.encoder.U.bias,grad_norm.decoder.U.weight,grad_norm.decoder.U.bias,test/loss
15.2501859664917,0,0,,,,,,,,,,,,,,,
,0,49,3.9243295192718506,0.003097065258139833,0.0004540342733446786,0.0056081161870226645,0.0003124560154571646,0.0008078447615253294,0.00035067581695391126,4.157008360652261e-05,0.00012889170345936033,4.024722567056495e-06,0.004548395890482488,0.00955479787181684,0.088990863461124,0.0006610723357908883,
,0,99,0.9038446545600891,0.04333107110614964,0.06919977120537829,0.01980760854792587,0.04377023572534329,0.017910989810334337,2.4424613740106427,0.05928838514805694,0.006120071637473103,0.02019740594721727,0.050745543102969255,2.75431475868728,0.413692432160842,1.9064128690941966,
,0,149,0.4689331352710724,0.020041221943007812,0.0091680933721414,0.017560794583451333,0.00807919844676095,0.004776603602964778,0.45586653124327214,0.0068022060486811475,0.0022101921360621613,0.008704514501541812,0.00584033573750873,1.0778496345289095,0.03485014581464503,0.8807676120789809,
,0,199,0.24611876904964447,0.007299085350075566,0.00277275955221214,0.003272834662160567,0.0009850974395096469,3.32880329233258e-05,0.03137875747180896,0.000296061901773281,0.00010420111960525138,1.0193388262907836e-05,0.002556468071148612,0.011693821343847157,0.015926511953760394,0.001130478294433791,
,0,249,0.13780970871448517,0.0005053353805224803,0.001042299451591398,0.0006061780960539939,0.0007404922113209004,0.0006957330871065668,0.06517202214528728,0.0008792491205404339,0.00011279233482090574,0.00039123203402355577,0.00298699054907167,0.12327349385270948,0.023095558331795545,0.04966650487075804,
0.14955349266529083,0,249,,,,,,,,,,,,,,,
,1,299,0.09442481398582458,0.0015108112075412745,0.0016674213319318532,0.0004825067566612022,0.001452303204205726,0.0009337414144060285,0.02656324041912895,0.0005916888155711445,0.00033116378000619965,0.0016113679278730198,0.0010093115566315624,0.38184031117404776,0.00757920242300881,0.1983836852310093,
,1,349,0.06842830777168274,0.0008142241558524131,0.0010644514625378335,0.0003951262178383569,0.0008493601072437779,0.0007239813411818985,0.017726722237684386,0.0004625985932482586,0.0001795531933784237,0.0008965676365891631,0.000861379044735634,0.3200321901088729,0.007224520129271835,0.11716679377109841,
,1,399,0.3836798071861267,0.009362565761478581,0.007180066775050498,0.00496534323141326,0.005003034452837541,0.0017756807343425206,0.08035474700813593,0.0011471958520757803,0.0004954545797708366,0.0008758258654478935,0.032857864670404,0.4555515014012692,0.6725663221597836,0.1603178425056544,
,1,449,0.05125124007463455,0.0017444147501899964,0.00031793641965150495,0.000352049026515758,0.00026552376004237554,0.00015979108950695898,0.004951735874890333,7.323112703102138e-05,6.288675302229372e-05,0.0002566243280027841,0.000431509096538894,0.08333048317352415,0.004661059013630235,0.03742146162888399,
,1,499,0.0623476542532444,0.00040173342108633874,0.0009579804349956172,0.0003697640030296381,0.000760593952510053,0.00032821743515056814,0.03265270363791008,0.00019477749654085784,7.900731452411167e-05,0.0001472010941343493,0.004917860270784599,0.05431236263886789,0.06166531223513373,0.020465581518919338,
0.0788429006934166,1,499,,,,,,,,,,,,,,,
,2,549,0.08102906495332718,0.003240875453427989,0.001113162715543442,0.0012359989565868756,0.0008836320537896308,0.0002900641448288994,0.0032625345909047757,6.570369107197745e-05,0.00010815207507112295,9.154225507648337e-05,0.008502698975244558,0.04779190430674749,0.10798541779659782,0.012715315815208883,
,2,599,0.1747465878725052,0.005330614721086642,0.009366757045841417,0.0018513675067989366,0.007572141113051843,0.006002990415773371,0.3144342108907518,0.0030823789944101074,0.0012722083589684927,0.00821388063660567,0.004729054552555916,2.413558318143719,0.0228061321719168,1.0700363623724232,
,2,649,0.03721894696354866,0.000546344724196752,0.0002606205780467267,0.0002754717756849347,0.0002183384929266441,0.0001272570591284376,0.0011815906975123052,3.0266577932186033e-05,3.163764825002914e-05,5.173203882400487e-05,0.0022514597064528232,0.030616092692241418,0.02757841987028676,0.006619837002945774,
,2,699,0.15849988162517548,0.005083788083032442,0.009485409353501856,0.002210836776941944,0.007487557795117877,0.006186353347622622,0.2939858747814863,0.0030733394602737293,0.0012309624043379765,0.007876690786195989,0.005411582525925289,2.422908999056861,0.021282588182305016,1.0058261251371121,
