test/loss,epoch,step
14.572257995605469,0,0
14.572296142578125,0,0
14.57226848602295,0,0
14.572259902954102,0,0
14.572271347045898,0,0
14.572242736816406,0,0
14.572239875793457,0,0
14.572274208068848,0,0
14.572257041931152,0,0
14.572281837463379,0,0
14.572273254394531,0,0
14.572251319885254,0,0
14.572243690490723,0,0
14.572243690490723,0,0
14.572242736816406,0,0
14.572248458862305,0,0
14.572305679321289,0,0
14.57226848602295,0,0
14.572273254394531,0,0
14.572269439697266,0,0
14.572288513183594,0,0
14.572277069091797,0,0
14.572299003601074,0,0
14.572244644165039,0,0
14.572239875793457,0,0
14.572273254394531,0,0
14.572246551513672,0,0
14.572270393371582,0,0
14.572239875793457,0,0
14.572251319885254,0,0
14.572286605834961,0,0
14.572315216064453,0,0
14.572269439697266,0,0
14.572264671325684,0,0
14.572275161743164,0,0
14.572236061096191,0,0
14.572234153747559,0,0
14.572282791137695,0,0
14.57226276397705,0,0
14.572291374206543,0,0
14.572278022766113,0,0
14.572247505187988,0,0
14.572239875793457,0,0
14.57223892211914,0,0
14.572240829467773,0,0
14.572244644165039,0,0
14.572338104248047,0,0
14.572274208068848,0,0
14.572282791137695,0,0
14.572273254394531,0,0
14.57231330871582,0,0
14.572290420532227,0,0
14.572321891784668,0,0
14.572242736816406,0,0
14.572235107421875,0,0
14.572287559509277,0,0
14.572243690490723,0,0
14.572288513183594,0,0
14.572244644165039,0,0
14.572248458862305,0,0
14.572303771972656,0,0
14.572357177734375,0,0
14.57227897644043,0,0
14.572271347045898,0,0
14.572290420532227,0,0
14.572235107421875,0,0
14.572235107421875,0,0
14.572297096252441,0,0
14.572270393371582,0,0
14.572309494018555,0,0
14.572293281555176,0,0
14.57225227355957,0,0
14.572237968444824,0,0
14.572240829467773,0,0
14.572234153747559,0,0
14.572243690490723,0,0
14.572395324707031,0,0
14.572284698486328,0,0
14.572299003601074,0,0
14.572287559509277,0,0
14.572347640991211,0,0
14.572308540344238,0,0
14.572360038757324,0,0
14.572237968444824,0,0
14.572230339050293,0,0
14.57231330871582,0,0
14.572240829467773,0,0
14.572318077087402,0,0
14.572254180908203,0,0
14.572251319885254,0,0
14.572331428527832,0,0
14.572426795959473,0,0
14.572293281555176,0,0
14.572291374206543,0,0
14.572303771972656,0,0
14.572232246398926,0,0
14.572242736816406,0,0
14.5723237991333,0,0
14.572293281555176,0,0
14.57234001159668,0,0
14.572310447692871,0,0
14.572256088256836,0,0
14.572234153747559,0,0
14.572257995605469,0,0
14.572229385375977,0,0
14.572246551513672,0,0
14.572491645812988,0,0
14.572300910949707,0,0
14.572332382202148,0,0
14.572300910949707,0,0
14.572408676147461,0,0
