val/loss,epoch,step,train/loss,grad_norm.net.W.weight,grad_norm.net.P.weight,grad_norm.net.g.linear1.weight,grad_norm.net.g.linear1.bias,grad_norm.net.g.linear2.weight,grad_norm.net.g.linear2.bias,grad_norm.net.f.linear1.weight,grad_norm.net.f.linear1.bias,grad_norm.net.f.linear2.weight,grad_norm.net.f.linear2.bias,grad_norm.encoder.U.weight,grad_norm.encoder.U.bias,grad_norm.decoder.U.weight,grad_norm.decoder.U.bias,test/loss
15.181711196899414,0,0,,,,,,,,,,,,,,,,
,0,49,3.715207099914551,0.07837844455896281,0.05226556289679635,0.005303644634445601,0.01665197986760774,0.008852580706581722,0.03568077534056759,0.009780607221878998,0.0007280166920913985,0.0047045903900855696,1.3361884482893088e-05,0.007399619533009829,0.06594073842858035,2.379910653979274,0.0036510682305635395,
,0,99,3.6975455284118652,0.042825429366042535,0.036944696076661246,0.004374298116579614,0.014120438548642736,0.0077722080196755035,0.02323424654835444,0.008586677111047323,0.00040578529804554574,0.00565090829514937,0.0014650816042839384,0.01385484999223411,0.0772199627331266,2.3942678940903095,0.4602742051602897,
,0,149,2.1675453186035156,0.007215082782385028,0.030600753738311594,0.012426730654842493,0.03772065004709393,0.01248347330875784,0.022972928472232295,0.0007017990018813558,0.00036850236679650847,0.0005396831119926097,0.0012798177008172449,0.08763886271080404,0.2207057475909922,0.04276580760359579,0.6258928054100001,
,0,199,1.2419625520706177,0.002662902496327714,0.00712166549735343,0.009246595913265692,0.02405944369804048,0.006374932853723812,0.01527238238977965,0.0014081652256815653,0.00106313198303082,0.0015700188703654354,0.003072651948904709,0.1676421254185148,0.3174150239162163,0.5676526991718012,1.2266252735695689,
,0,249,1.1242517232894897,0.003030623219219591,0.0082089380838877,0.003499009561272576,0.0099476565778553,0.0026432595097101094,0.007284226083817954,0.0013243515863836561,0.00041191597888209734,0.0009583061237885197,0.00042525169717053357,0.05780671304713288,0.19017269850430077,0.9080461085388194,0.1589219461370102,
1.1581511497497559,0,249,,,,,,,,,,,,,,,,
,1,299,1.1096348762512207,0.0036875563074444838,0.009099956895719095,0.0007133675465777533,0.0015435296902930069,0.0006840752847292627,0.0017569071819186523,0.0013378718687363208,0.00016949181621609717,0.0005574735058089355,0.0002922811679884746,0.022051308530703424,0.03470313808051836,0.23404639403216074,0.12078565983448798,
,1,349,8.548239707946777,0.34883335687065403,0.467401579462192,0.4583635319057068,1.200829160247217,0.39538973219903756,1.0369785674319651,0.08888425493180399,0.0489097165797045,0.059209802560296135,0.14275451062047195,11.078713212861135,27.523399587909267,49.82547477506659,48.04345253194486,
,1,399,1.3859913349151611,0.02455995138510355,0.048705872785938235,0.05139538345774305,0.10875839307049695,0.048434219973981354,0.15894228318972942,0.006750275128911433,0.005631145495708112,0.005671489006579365,0.020036599998376772,1.8525110803276987,2.706008361945565,1.1786739005169384,6.747697445938086,
,1,449,0.5527570247650146,0.004865214113029217,0.007049074614864285,0.011848212166843612,0.022460037172182208,0.011185659677238634,0.03851149205818799,0.001407813052455928,0.0013786730746067264,0.0014701301507845069,0.005204859746773908,0.5200699705700954,0.5835252508220736,0.05220100777772925,1.8717053099701706,
,1,499,0.3618711829185486,0.0004762757029583099,0.0013439096065641699,0.002770026665910921,0.00531358858086647,0.0022789067857484748,0.008274755566353969,0.0003121428897281045,0.0003389686389880653,0.00027175293119395945,0.001143983473256686,0.1393786708094339,0.1561606974343862,0.04611892731273136,0.425242045912954,
0.344430536031723,1,499,,,,,,,,,,,,,,,,
,2,549,0.4094969928264618,0.0032820276380239035,0.0024078135553684647,0.0003120053349681343,0.0006154806578605846,0.0005486420924269768,0.0010224246280194295,0.0003657631474452491,9.172828307974762e-05,0.0002563430927413644,0.00011120110992219378,0.012080833860583624,0.01523981511986303,0.5026521777651252,0.04955361631044542,
,2,599,1.06459379196167,0.04595553658033738,0.02263314481809471,0.02719737506337254,0.057950634262720395,0.03597355841219805,0.08068573730696284,0.004410593276116122,0.0030303766822594074,0.0044383625192600164,0.010117480089051983,1.411351839707473,1.744562111644641,3.3140229347921126,3.736042891737136,
,2,649,0.37329161167144775,0.002537117760760506,0.0037045190762628713,0.007290779013127552,0.015509941774143284,0.009192013368960649,0.024263446697033904,0.0008522494190819403,0.0008975106713632972,0.0010727389472233277,0.003557110637354731,0.42142533476406,0.5249296512260201,0.1281864729079376,1.367222944465534,
,2,699,0.7413680553436279,0.010228790251010911,0.008676102824239399,0.0173987164052567,0.03252290855795463,0.022826056920318773,0.06589692054779102,0.001506864290620706,0.0022675074699373353,0.0026911423818556882,0.009587776072482285,1.0745445507355709,1.100936422623006,0.04906339021174764,3.771306120810729,
,2,749,0.35760998725891113,0.0010762474499808646,0.001737928647563778,0.002511608228247491,0.0046589449296064595,0.0020359623074439445,0.007837691638596687,0.0002490245769588666,0.00024160871408740654,0.00034156532931757814,0.0010188140496959137,0.14851353444517287,0.19056861668675965,0.16876466219015174,0.39213677737684155,
0.5727109313011169,2,749,,,,,,,,,,,,,,,,
,3,799,0.28064078092575073,0.0032271218946121694,0.0028362532858419347,0.002254208032541281,0.0037455988285517256,0.0029267985705734214,0.01057970153296375,0.00036814661526581206,0.00031903361838128154,0.000515709144100554,0.0012199365228688051,0.1479240583741946,0.1360241571994792,0.01317237167742771,0.44360344190549317,
,3,849,0.5752744674682617,0.006290094716993002,0.008321039133053989,0.013667241391764538,0.025284032731642203,0.019879520368875865,0.07161369040608954,0.0009951552678472359,0.001574860084194343,0.0017377861580913688,0.007293384071788395,0.9019689271457869,1.001567565739863,0.07274012728338719,2.872535003440558,
,3,899,0.9660518765449524,0.026193155146809255,0.01984983420635412,0.03287691076768619,0.055485750315541434,0.051834540337944546,0.1766498873549106,0.002013367920309212,0.003498406647498618,0.00418250212694791,0.01623696314868796,2.3621322350474854,2.1352130688626105,0.515347759799169,5.942296599730725,
,3,949,0.7006719708442688,0.019710832698755888,0.007894916180773936,0.0165025594182398,0.03254312652594889,0.02323572305028063,0.0683379423631249,0.0017216426601840314,0.0017437193628940366,0.002129756108390353,0.008378786370419536,1.144112219921179,1.4657436882926427,0.9495045601312936,3.533291795796298,
,3,999,0.2873471677303314,0.001971176159754521,0.0014371234188992343,0.002220622803208001,0.003810324014821569,0.003541402301261029,0.010899524103520585,0.00029982128105541204,0.00032354198494784935,0.000439671112591271,0.0015994908180350293,0.16580699667980392,0.09935814924241357,0.1687908134742574,0.7169985089249047,
0.4871034324169159,3,999,,,,,,,,,,,,,,,,
,4,1049,0.7737610936164856,0.004045536227582206,0.003502131905409384,0.014534711876303763,0.026072665750350797,0.019260466338272775,0.06463058152883411,0.0007043938385957548,0.0017863200662554314,0.002017638682645077,0.009034266429434362,1.2209989425183,1.2940902562417527,0.013753946876360487,4.322287538490921,
,4,1099,0.5036996006965637,0.007824286948861564,0.0032731003102247067,0.0035073813491276664,0.006244692688093417,0.00531198451815868,0.01577500344343805,0.0005832322213188993,0.0005080600068696339,0.0009188684908164739,0.0022673770529145054,0.2904579141330258,0.3146572430928303,0.9213710502583249,1.1265770780585838,
