perturbation,perturbation_error
0.0,0.0016122421948239207
0.001,0.003911733627319336
0.0014142135623730952,0.0051878709346055984
0.002,0.007317521143704653
0.0028284271247461905,0.010981454513967037
0.004,0.017473863437771797
0.005656854249492381,0.02929554507136345
0.008,0.05134570971131325
0.011313708498984762,0.09333810955286026
0.016,0.17474740743637085
0.022627416997969524,0.33504754304885864
0.032,0.6551506519317627
0.04525483399593905,1.302751064300537
0.064,2.6283175945281982
0.0905096679918781,5.362531661987305
0.128,10.974079132080078
0.1810193359837562,29.637367248535156
0.256,141.60629272460938
0.3620386719675124,851.4288940429688
0.512,3.4406679246178594e+21
0.7240773439350248,inf
1.024,inf
