perturbation,perturbation_error
0.0,14.572614669799805
0.001,14.572673797607422
0.0014142135623730952,14.572698593139648
0.002,14.572736740112305
0.0028284271247461905,14.572793006896973
0.004,14.572876930236816
0.005656854249492381,14.573707580566406
0.008,14.574091911315918
0.011313708498984762,14.57442855834961
0.016,14.574974060058594
0.022627416997969524,14.578688621520996
0.032,14.583702087402344
0.04525483399593905,14.593628883361816
0.064,14.613962173461914
0.0905096679918781,14.657125473022461
0.128,14.836042404174805
0.1810193359837562,15.469944953918457
0.256,17.068342208862305
0.3620386719675124,26.397192001342773
0.512,57.188133239746094
0.7240773439350248,197.16355895996094
1.024,670.985107421875
