val/loss,epoch,step,train/loss,grad_norm.net.W.weight,grad_norm.net.P.weight,grad_norm.net.g.linear1.weight,grad_norm.net.g.linear1.bias,grad_norm.net.g.linear2.weight,grad_norm.net.g.linear2.bias,grad_norm.net.f.linear1.weight,grad_norm.net.f.linear1.bias,grad_norm.net.f.linear2.weight,grad_norm.net.f.linear2.bias,grad_norm.encoder.U.weight,grad_norm.encoder.U.bias,grad_norm.decoder.U.weight,grad_norm.decoder.U.bias,test/loss
14.867170333862305,0,0,,,,,,,,,,,,,,,,
,0,49,0.09993497282266617,0.0023415411220162603,0.009407428591424145,0.14252172984648454,0.42075582057302974,0.01302347019908687,0.5276957349638066,0.001805945375035798,0.0015454414799835224,0.001688365200710873,0.00227564634215715,0.0032781489190829107,0.7367182484655418,0.20797536050356896,0.4099408680730256,
,0,99,0.05675278604030609,0.0005097297429992138,0.0016107732127511355,0.06204971558294267,0.2007318604124096,0.000729049979692231,0.2428259789450234,0.00011391099042938415,0.0007820678614035503,0.00013758965117369713,0.0015295438460199654,0.0003129052577861709,0.5042764733609537,0.02181570520822075,0.3621002800787013,
,0,149,0.1140584647655487,0.016246456825631028,0.012676266429274675,0.0023888429565901313,0.00016616333771346336,0.006902605472338872,0.0002075551532647247,0.01545726532282457,7.570602683209323e-07,0.01283979711663533,1.6733292434261025e-06,0.017792680261407897,0.00046834102731162567,1.7479598789823516,0.00044629554263778994,
,0,199,0.16439585387706757,0.046373243169225,0.03852353714271278,0.03601321619744796,0.09092870912451238,0.012932072205196642,0.12882409845078227,0.025316570094611704,0.00032993041731253434,0.017863113872141338,0.00060481863734985,0.029608246880388774,0.26299558251046484,2.639535742841819,0.16100802042544124,
,0,249,0.14149068295955658,0.015298951036680039,0.008319397756768349,0.06930014054323919,0.23955281795175795,0.005409854779553112,0.3299618333871241,0.009552422115371328,0.0010423593251818481,0.008205556732578605,0.001994569882850481,0.010822178227659095,0.7638927465413216,1.2966053707464746,0.5564524555639837,
0.0434657447040081,0,249,,,,,,,,,,,,,,,,
,1,299,0.06226509064435959,0.003315389607228254,0.0016920889358972156,0.028283894370409877,0.08978168227090061,0.001707083526009105,0.12555150812994836,0.0030778382920347686,0.0003980386883888137,0.0029632746528471163,0.0008216038127820324,0.003546431987257777,0.31408338200807406,0.4372823036681269,0.2600995174385148,
,1,349,0.03992161154747009,0.0005579087444235112,0.0007749187809391254,0.021610407353992465,0.07331523776235374,0.00018110995475090902,0.1029513077194418,0.000270358296312456,0.0003372295760711101,0.00012121481896160824,0.0007563143314910708,0.0002497182856040867,0.2817972037901318,0.014210102437567563,0.26332345586373934,
,1,399,0.07311879843473434,0.020545130854244923,0.014162988141670652,0.004862776569089921,0.011496502843995005,0.004601834159127166,0.016600458123880737,0.011261670272475804,5.894209121026729e-05,0.007918964560420292,0.00014130216130385997,0.008421723755159512,0.04751974640668654,1.2274149662004674,0.05259105748771957,
,1,449,0.09436265379190445,0.0024706953137592228,0.0058074111762067195,0.03541255820423663,0.12539133723637524,0.0005995204361531156,0.18570222380288806,0.0012771796463457402,0.0005923303991743224,0.0001721495056770591,0.0013963194079291018,1.9537171446130194e-05,0.5534770178166775,0.03441254762960247,0.5163037886056417,
,1,499,0.28092673420906067,6.19347553924354e-05,0.001295136750977168,0.09968249559039219,0.3643846670876457,0.0005544202015668063,0.5448493847101322,0.0002089849790168424,0.0019439834084181702,0.0002891425759095719,0.004850905692672604,0.0014465400855210124,1.7441299537755282,0.0650264151700197,1.9046899813365956,
0.15644782781600952,1,499,,,,,,,,,,,,,,,,
,2,549,0.011633145622909069,0.001182541710555231,0.0004798184809435183,0.001195169577434934,0.0044688810180987856,0.0004849252556449092,0.006489472890155814,0.0011341384948499846,2.4616050030439484e-05,0.0010447186941465935,6.220143546138587e-05,0.0008578041601613741,0.023209302694334816,0.17170728586140965,0.024795086275360662,
,2,599,0.009808236733078957,0.0032439522747843876,0.002532772656515221,0.0006094117352134526,0.0016339882777323474,0.0006468385785302524,0.0024965291761747275,0.0017328333188425206,9.397650609506704e-06,0.001056983381800061,2.41815656501485e-05,0.0009115346162249579,0.008416521673823552,0.16301564790137832,0.009718326576144276,
,2,649,0.009650886058807373,0.0027953378473914246,0.0015301981329570097,0.00041607441560577506,0.0008930778076516905,0.0006937581134732418,0.0013822852615648193,0.0018033849705623541,4.828385758560005e-06,0.0013207076689727855,1.2103840509316498e-05,0.0011479754762500163,0.004595452406272505,0.20375227742414387,0.004673460160806072,
,2,699,0.0061238547787070274,0.0012123047601231393,0.0006800639903850739,0.0006145030378565258,0.002294629398362267,0.00033064675939427064,0.003635681476768954,0.0008511660964635721,1.3481562124047012e-05,0.0006267547616853968,3.413611562081036e-05,0.0005431151479729534,0.011692696747578387,0.09942239424409556,0.013202195801711808,
,2,749,0.008074762299656868,0.0012626675408352489,0.0007278847536328611,0.0014026419043753386,0.005350608387321624,0.0003046768857581563,0.008432935508099466,0.0008294440886070221,3.1224196970483867e-05,0.0005818636803393694,7.829839352685685e-05,0.0004842773717277753,0.0278915658366734,0.09309745363431879,0.029692271712744644,
0.029844123870134354,2,749,,,,,,,,,,,,,,,,
,3,799,0.02273234911262989,0.003487334157879698,0.0022212405948538656,0.00242007977297733,0.009284804803757577,0.0009318800014994352,0.014920651007020063,0.002658629402219141,5.8959424752685216e-05,0.001835854662821981,0.00015291763070662243,0.0015763677938235834,0.0497048399121494,0.2918547594974406,0.05990529891456833,
,3,849,0.011657079681754112,0.0007344396815801877,0.0005328082464314056,0.0028470009869878106,0.011012895838558155,0.00016688504964053322,0.017745801973609972,0.0005346174285539659,6.847237789113339e-05,0.00033318808236835134,0.00017631095049750405,0.0002556117625221215,0.06089992286751853,0.05593860311758929,0.06791849944608505,
,3,899,0.01275354903191328,0.00084159556957668,0.0007148049924776572,0.0024293539813165814,0.009572369283108147,0.00016895012044464012,0.015433726676941291,0.0005704462499927321,6.437743329659192e-05,0.000311879770118077,0.0001713911864803088,0.0002826760044215118,0.05596812271360895,0.05264012961849931,0.06831203956885822,
,3,949,0.016958344727754593,0.007101163477756396,0.0044947066112103655,0.0003172561660572538,0.0003294261519922315,0.0015217808994608597,0.0005317142303593016,0.004282813789675657,2.0616905650754423e-06,0.00262871362015819,5.455794406793341e-06,0.0019469804206847362,0.0020016569160085907,0.398849504537056,0.002192797432121156,
,3,999,0.01234854944050312,0.002949627534504932,0.001370680572890422,0.0005683591932423275,0.0014969659664130378,0.0008169075775311532,0.002510355386543213,0.002164119481638285,1.0310482963558733e-05,0.0015704248142708699,2.778765879930891e-05,0.0011432642070400502,0.008926431061815487,0.23624314583790212,0.011404344544805994,
0.010733957402408123,3,999,,,,,,,,,,,,,,,,
