perturbation,perturbation_error
0.0,0.24633584916591644
0.001,0.2537897229194641
0.0014142135623730952,0.2575695514678955
0.002,0.26360103487968445
0.0028284271247461905,0.2734908163547516
0.004,0.29016295075416565
0.005656854249492381,0.31901291012763977
0.008,0.37005916237831116
0.011313708498984762,0.4729331135749817
0.016,0.7861596941947937
0.022627416997969524,1.4809497594833374
0.032,3.015962839126587
0.04525483399593905,6.3902153968811035
0.064,13.271140098571777
0.0905096679918781,20.178409576416016
0.128,29.279783248901367
0.1810193359837562,55.277774810791016
0.256,76.5104751586914
0.3620386719675124,87.76823425292969
0.512,93.20594024658203
0.7240773439350248,117.31183624267578
1.024,135.6479034423828
