step,epoch,test/loss
0,0,0.022124961018562317
0,0,0.02950477786362171
0,0,0.035032354295253754
0,0,0.03458883985877037
0,0,0.03328356146812439
0,0,0.04195573925971985
0,0,0.04122406989336014
0,0,0.0394166000187397
0,0,0.05352071672677994
0,0,0.052259255200624466
0,0,0.04979551210999489
0,0,0.07381980866193771
0,0,0.07152681797742844
0,0,0.06823877990245819
0,0,0.11163043230772018
0,0,0.1072048544883728
0,0,0.10290218144655228
0,0,0.18730966746807098
0,0,0.178134024143219
0,0,0.1719498634338379
0,0,0.3523954451084137
0,0,0.3316670358181
0,0,0.3163100481033325
0,0,0.7524346709251404
0,0,0.7005926370620728
0,0,0.6310189962387085
0,0,1.8594410419464111
0,0,1.7141450643539429
0,0,1.515989065170288
0,0,5.464265823364258
0,0,5.016006946563721
0,0,4.303295135498047
0,0,18.1182804107666
0,0,17.070098876953125
0,0,13.885149002075195
0,0,58.00788116455078
0,0,57.75205993652344
0,0,50.371280670166016
0,0,155.79844665527344
0,0,156.50421142578125
0,0,176.09593200683594
0,0,364.0871887207031
0,0,340.35784912109375
0,0,484.0585021972656
0,0,799.4442749023438
0,0,669.93310546875
0,0,1026.999267578125
0,0,1721.9091796875
0,0,1363.5135498046875
0,0,1835.581298828125
0,0,3554.597412109375
0,0,2872.717529296875
0,0,2722.60791015625
0,0,7093.47119140625
0,0,5948.37060546875
0,0,3187.25927734375
0,0,12761.208984375
0,0,11703.30078125
0,0,22898.1875
0,0,40159.87890625
0,0,212877.015625
0,0,20715.005859375
0,0,35737.953125
0,0,258994.09375
