test/loss,step,epoch
0.034033145755529404,0,0
0.04254046082496643,0,0
0.023706378415226936,0,0
0.034038104116916656,0,0
0.04674490541219711,0,0
0.02002289518713951,0,0
0.034172821789979935,0,0
0.05349135771393776,0,0
0.01543914433568716,0,0
0.03451443463563919,0,0
0.06487815827131271,0,0
0.010248485952615738,0,0
0.035326696932315826,0,0
0.08553695678710938,0,0
0.005589201580733061,0,0
0.03726091608405113,0,0
0.1268387883901596,0,0
0.004487077705562115,0,0
0.041926898062229156,0,0
0.2215670943260193,0,0
0.013620913028717041,0,0
0.054222822189331055,0,0
0.4760620892047882,0,0
0.0461714044213295,0,0
0.08892187476158142,0,0
1.2834347486495972,0,0
0.13485388457775116,0,0
0.19455979764461517,0,0
4.374125957489014,0,0
0.48433029651641846,0,0
0.5615180730819702,0,0
18.36566162109375,0,0
3.3684585094451904,0,0
2.219559669494629,0,0
61.70577621459961,0,0
15.865764617919922,0,0
4.645272731781006,0,0
168.64962768554688,0,0
47.48054122924805,0,0
4.748178005218506,0,0
396.0699462890625,0,0
118.17536926269531,0,0
5.8592023849487305,0,0
847.3947143554688,0,0
269.2012634277344,0,0
22.912649154663086,0,0
1738.1544189453125,0,0
583.56689453125,0,0
101.45478820800781,0,0
3427.208984375,0,0
1239.3958740234375,0,0
277.8836975097656,0,0
6632.78271484375,0,0
2468.0888671875,0,0
1030.2481689453125,0,0
12603.2421875,0,0
6027.73681640625,0,0
1223.95556640625,0,0
4367.39697265625,0,0
22384.6796875,0,0
5871.27490234375,0,0
21400.380859375,0,0
54137.609375,0,0
16304.396484375,0,0
