perturbation,perturbation_error
0.0,2.059976816177368
0.001,4.108271598815918
0.0014142135623730952,5.2422637939453125
0.002,7.112204074859619
0.0028284271247461905,10.236246109008789
0.004,15.486682891845703
0.005656854249492381,24.253929138183594
0.008,38.557891845703125
0.011313708498984762,60.88055419921875
0.016,102.92569732666016
0.022627416997969524,174.08575439453125
0.032,284.9392395019531
0.04525483399593905,486.3747863769531
0.064,790.2155151367188
0.0905096679918781,1228.9774169921875
0.128,1912.10693359375
0.1810193359837562,3033.2705078125
0.256,5176.806640625
0.3620386719675124,7929.01513671875
0.512,15786.380859375
0.7240773439350248,24241.3203125
1.024,80025.671875
