perturbation,perturbation_error
0.0,0.0033617946319282055
0.001,0.0037656533531844616
0.0014142135623730952,0.0039855604991316795
0.002,0.004359488375484943
0.0028284271247461905,0.005036520306020975
0.004,0.006366044748574495
0.005656854249492381,0.009257958270609379
0.008,0.01642868109047413
0.011313708498984762,0.03742349520325661
0.016,0.11301878094673157
0.022627416997969524,0.4504871368408203
0.032,2.025224208831787
0.04525483399593905,7.4871602058410645
0.064,23.27785873413086
0.0905096679918781,145.86343383789062
0.128,486.50457763671875
0.1810193359837562,1244.429931640625
0.256,2962.81689453125
0.3620386719675124,8686.1123046875
0.512,25556.76953125
0.7240773439350248,132320.0625
1.024,148613.3125
