perturbation,perturbation_error
0.0,0.0038924566470086575
0.001,0.004209369886666536
0.0014142135623730952,0.00445499736815691
0.002,0.0049164434894919395
0.0028284271247461905,0.005796680226922035
0.004,0.007495465222746134
0.005656854249492381,0.010802102275192738
0.008,0.018207183107733727
0.011313708498984762,0.03297579288482666
0.016,0.06173814460635185
0.022627416997969524,0.1164017841219902
0.032,0.21676555275917053
0.04525483399593905,0.489289790391922
0.064,1.2205365896224976
0.0905096679918781,2.817295789718628
0.128,4.957810401916504
0.1810193359837562,7.358901500701904
0.256,18.16510772705078
0.3620386719675124,50.179779052734375
0.512,159.3109588623047
0.7240773439350248,401.7341003417969
1.024,1408.813232421875
