test/loss,step,epoch
2.059976816177368,0,0
2.045020580291748,0,0
2.540503740310669,0,0
2.7086997032165527,0,0
2.040776014328003,0,0
2.763366937637329,0,0
3.0302164554595947,0,0
2.0367746353149414,0,0
3.1020097732543945,0,0
3.5378761291503906,0,0
2.038255453109741,0,0
3.628039598464966,0,0
4.366164684295654,0,0
2.06705641746521,0,0
4.46384859085083,0,0
5.7731499671936035,0,0
2.1933164596557617,0,0
5.82617712020874,0,0
8.260026931762695,0,0
2.668998956680298,0,0
8.102311134338379,0,0
12.85820198059082,0,0
4.211194038391113,0,0
11.964919090270996,0,0
21.726041793823242,0,0
8.520976066589355,0,0
18.486963272094727,0,0
39.17205810546875,0,0
18.7672061920166,0,0
29.040058135986328,0,0
72.40113067626953,0,0
40.070594787597656,0,0
43.95612716674805,0,0
133.24049377441406,0,0
78.5665283203125,0,0
59.5174446105957,0,0
241.48728942871094,0,0
137.50054931640625,0,0
67.21549224853516,0,0
420.4052429199219,0,0
207.00999450683594,0,0
60.78567123413086,0,0
687.1409912109375,0,0
298.08392333984375,0,0
39.77934265136719,0,0
1074.2476806640625,0,0
572.9668579101562,0,0
18.947404861450195,0,0
1691.57763671875,0,0
598.8279418945312,0,0
75.427734375,0,0
2720.013671875,0,0
601.9351196289062,0,0
543.88720703125,0,0
6223.03857421875,0,0
468.8382568359375,0,0
2566.823974609375,0,0
15786.380859375,0,0
1385.16015625,0,0
9424.4072265625,0,0
20579.91015625,0,0
4916.6494140625,0,0
44288.3125,0,0
23431.685546875,0,0
