perturbation,perturbation_error
0.0,0.005294023547321558
0.001,0.005294023547321558
0.0014142135623730952,0.006140684708952904
0.002,0.014691396616399288
0.0028284271247461905,0.038453977555036545
0.004,0.0972200408577919
0.005656854249492381,0.24313612282276154
0.008,0.6218352317810059
0.011313708498984762,1.6999622583389282
0.016,5.317095756530762
0.022627416997969524,21.406816482543945
0.032,137.61688232421875
0.04525483399593905,2100.573974609375
0.064,163126.765625
0.0905096679918781,289093024.0
0.128,91146562830336.0
0.1810193359837562,5.060757050951084e+22
0.256,2.4091488910425212e+36
0.3620386719675124,inf
0.512,inf
0.7240773439350248,inf
1.024,inf
