test/loss,epoch,step
0.0033617946319282055,0,0
0.0032012888696044683,0,0
0.0028916248120367527,0,0
0.0037656533531844616,0,0
0.0031619914807379246,0,0
0.0027404793072491884,0,0
0.0039855604991316795,0,0
0.0031370369251817465,0,0
0.0025788182392716408,0,0
0.004359488375484943,0,0
0.0031699230894446373,0,0
0.0024717075284570456,0,0
0.005036520306020975,0,0
0.0033752534072846174,0,0
0.0026183014269918203,0,0
0.006366044748574495,0,0
0.004054502584040165,0,0
0.003600124502554536,0,0
0.009257958270609379,0,0
0.00604198919609189,0,0
0.0071423049084842205,0,0
0.01642868109047413,0,0
0.011833672411739826,0,0
0.01856974884867668,0,0
0.03742349520325661,0,0
0.029638215899467468,0,0
0.054826073348522186,0,0
0.11301878094673157,0,0
0.08700384944677353,0,0
0.1708260029554367,0,0
0.4504871368408203,0,0
0.21309702098369598,0,0
0.5726537108421326,0,0
2.025224208831787,0,0
0.9240415096282959,0,0
2.286421060562134,0,0
7.4871602058410645,0,0
23.27785873413086,0,0
16.837444305419922,0,0
18.922569274902344,0,0
145.86343383789062,0,0
117.89295959472656,0,0
39.32945251464844,0,0
486.50457763671875,0,0
446.1959228515625,0,0
99.16227722167969,0,0
1127.2406005859375,0,0
1244.429931640625,0,0
255.8641815185547,0,0
2962.81689453125,0,0
2921.85009765625,0,0
679.7760009765625,0,0
8686.1123046875,0,0
6619.47509765625,0,0
1833.528564453125,0,0
25556.76953125,0,0
14038.275390625,0,0
4682.93115234375,0,0
132320.0625,0,0
9798.6728515625,0,0
28676.10546875,0,0
148613.3125,0,0
16811.984375,0,0
82644.8515625,0,0
