perturbation,perturbation_error
0.0,0.022124961018562317
0.001,0.035032354295253754
0.0014142135623730952,0.04195573925971985
0.002,0.05352071672677994
0.0028284271247461905,0.07381980866193771
0.004,0.11163043230772018
0.005656854249492381,0.18730966746807098
0.008,0.3523954451084137
0.011313708498984762,0.7524346709251404
0.016,1.8594410419464111
0.022627416997969524,5.464265823364258
0.032,18.1182804107666
0.04525483399593905,58.00788116455078
0.064,156.50421142578125
0.0905096679918781,364.0871887207031
0.128,799.4442749023438
0.1810193359837562,1721.9091796875
0.256,3554.597412109375
0.3620386719675124,7093.47119140625
0.512,12761.208984375
0.7240773439350248,212877.015625
1.024,258994.09375
