perturbation,perturbation_error
0.0,0.14265207946300507
0.001,0.19525712728500366
0.0014142135623730952,0.22024475038051605
0.002,0.2587522566318512
0.0028284271247461905,0.3194972276687622
0.004,0.41788238286972046
0.005656854249492381,0.5815677046775818
0.008,0.8612442016601562
0.011313708498984762,1.3504070043563843
0.016,2.2215981483459473
0.022627416997969524,3.7925467491149902
0.032,7.665411472320557
0.04525483399593905,15.580721855163574
0.064,29.955341339111328
0.0905096679918781,51.153743743896484
0.128,74.18790435791016
0.1810193359837562,119.41888427734375
0.256,154.68621826171875
0.3620386719675124,188.6992645263672
0.512,269.3963623046875
0.7240773439350248,331.94097900390625
1.024,399.5460205078125
