val/loss,epoch,step,train/loss,grad_norm.net.layer.D,grad_norm.net.layer.kernel.C,grad_norm.net.layer.kernel.inv_dt,grad_norm.net.layer.kernel.B,grad_norm.net.layer.kernel.A_real,grad_norm.net.layer.kernel.A_imag,grad_norm.net.layer.kernel.P,grad_norm.net.output_linear.0.weight,grad_norm.net.output_linear.0.bias,grad_norm.encoder.U.weight,grad_norm.encoder.U.bias,grad_norm.decoder.U.weight,grad_norm.decoder.U.bias,test/loss
14.064411163330078,0,0,,,,,,,,,,,,,,,
,0,49,3.2494630813598633,0.0019283830741653265,0.0009141767090325097,0.10120612870460359,0.00017280015438748622,0.004817302100228401,0.0006615812088307169,0.00016239683831603127,0.00038023080228363586,2.5930910892787475e-05,0.002520587277356395,0.030607822253422182,0.01910770228744342,0.0004696089584785861,
,0,99,0.8460341095924377,0.12553854984136617,0.18841675015752984,0.17221968432213453,0.14220615574988046,0.1379878809383735,5.066408342496364,0.02112963562588511,0.11185399819468243,0.07011651008592824,0.012513508078777949,4.036183850461844,0.39418989367922785,0.9104177157617424,
,0,149,0.5699511766433716,0.11303051228962688,0.22003204033905566,0.00558861617121772,0.1681883938637991,0.1462308886418986,6.8322775294003755,0.02527910995959527,0.1046300755935956,0.06688790119575332,0.012486136832371302,4.382954520542988,0.3745071549034431,0.8817717842423889,
,0,199,0.665640652179718,0.28245735498142,0.6336712150139967,0.25356916100253185,0.48560418937294,0.346423485389444,20.908587936746947,0.06686733985745685,0.24440740336510636,0.15908702658389803,0.04806385470022026,13.704338678574604,1.0992777106468838,2.1435262854545996,
,0,249,0.32937026023864746,0.11680207708866208,0.15188284720275663,0.11406804772900778,0.11799217668048528,0.10241346990085168,7.333577829208331,0.02367478743678139,0.0664978712752758,0.03774960504435912,0.01611569878576609,3.4877805218525215,0.26045246570741015,0.520965021151335,
0.44776034355163574,0,249,,,,,,,,,,,,,,,
,1,299,0.1926596313714981,0.005967582222526244,0.00677456162016096,0.0038420478546983975,0.005289142463843556,0.0034198681215638583,0.29078649900703407,0.0006106562444289583,0.002744489475795962,0.0016279999387514748,0.0005640327100459424,0.17472761536489287,0.011786339225780491,0.024317959728556344,
,1,349,0.36326342821121216,0.10121956071920361,0.22570303606773265,0.01916172207440492,0.17848368856384206,0.1490371678978241,8.42870235695056,0.024373766528703406,0.1318562396829887,0.07816889208382859,0.018284944928821788,6.601380070636394,0.5264033301555809,1.2299334315218318,
,1,399,0.26208776235580444,0.05449302351342754,0.09605974843534232,0.06028181500004519,0.07598841518071064,0.06808998372982566,3.256311099931401,0.008800659060270527,0.07728897417793198,0.042760336937777,0.006723754203636276,3.947247248587644,0.3092657983154213,0.7095999700483617,
,1,449,0.16138972342014313,0.02225121754702961,0.028602378864297236,0.00282620515758305,0.022656843042566294,0.020596882884874313,0.8761164293731096,0.0020119342718928884,0.023872483188331163,0.013067861456198903,0.002184263073127026,1.4109800519746853,0.10171234244343788,0.23133398538681296,
,1,499,0.21847346425056458,0.04967180437243367,0.07942042742876552,0.010660426367468277,0.06360726356354318,0.054652266477445394,2.283321047213485,0.005762217481811783,0.060647259160935996,0.0346390755798377,0.012653876312232984,3.4268116709567353,0.27615607390675356,0.6448902087139977,
0.23151426017284393,1,499,,,,,,,,,,,,,,,
,2,549,0.1783212423324585,0.06843330785742927,0.017881955146255932,0.01753374258412991,0.012970709365325251,0.008864158905417523,0.2895150741111783,0.0008528153761410921,0.015548410632316849,0.007845126795892098,0.0093301506045524,0.9232069271725322,0.08863969646738548,0.16275034657555348,
,2,599,0.19078987836837769,0.12581750880370662,0.012115282904039725,0.04204251118228393,0.008457568302458356,0.015606674610858875,0.6018055974182028,0.0028590768219249477,0.009931633692393279,0.004442513214857975,0.02402791100483966,0.940601903590386,0.0539342343404585,0.0971881686221718,
,2,649,0.4389955401420593,0.07809891496525619,0.10696446405142787,0.020517933977838097,0.08767569380370167,0.07952162751454663,1.9616101152788326,0.0058397350284408,0.19143575541705993,0.10924545645103463,0.10452858527972782,13.455009566048215,1.011260318704991,2.848328834713958,
,2,699,0.11217005550861359,0.014679593116033104,0.013485722479509214,0.0053649541129749435,0.011037347730835922,0.009680095244282573,0.20055188614326336,0.0005710083159485763,0.0346453548612975,0.018170205110798268,0.05334194345129718,2.8971008405518544,0.3919605227529367,0.5453702703101926,
,2,749,0.03378206491470337,0.002079359393693174,0.001545010687383155,0.0013546605437724372,0.0011836789990634828,0.0005029496028330811,0.01614738101976816,9.815206453872933e-05,0.0013834285380527967,3.296749152166237e-05,0.013941801676073498,0.497021765893522,0.22726493738134879,0.0011979993095099389,
0.03276938945055008,2,749,,,,,,,,,,,,,,,
0.03276938945055008,3,750,,,,,,,,,,,,,,,
,3,750,,,,,,,,,,,,,,,0.03229744732379913
