perturbation,perturbation_error
0.0,0.07366907596588135
0.001,0.10346399247646332
0.0014142135623730952,0.1226751059293747
0.002,0.15749429166316986
0.0028284271247461905,0.22357745468616486
0.004,0.35568317770957947
0.005656854249492381,0.6362634897232056
0.008,1.3314900398254395
0.011313708498984762,3.1376702785491943
0.016,8.325529098510742
0.022627416997969524,23.725025177001953
0.032,56.959716796875
0.04525483399593905,94.74222564697266
0.064,118.15032958984375
0.0905096679918781,130.8526611328125
0.128,165.67694091796875
0.1810193359837562,184.1663055419922
0.256,205.79852294921875
0.3620386719675124,232.3707275390625
0.512,236.6658172607422
0.7240773439350248,236.6658172607422
1.024,264.1484680175781
